LAT,LONG,HUMANNAME,COUNT
32.5333,-117.017,"Zaragoza, Baja California, Mexico",6527
19.4342,-99.1386,"Mexico City, Distrito Federal, Mexico",4826
18.4917,-93.75,"Sinaloa, Tabasco, Mexico",3084
31.7333,-106.483,"Paso Del Norte, Méco, Mexico",2739
32.5175,-115.235,"Jalisco, Baja California, Mexico",1588
24.9086,-107.594,"Tamaulipas, Sinaloa, Mexico",1281
20.6667,-103.333,"Guadalajara, Jalisco, Mexico",1074
16.5,-91.75,"Chiapas, Chiapas, Mexico",874
14.6833,-92.15,"Ciudad Hidalgo, Chiapas, Mexico",834
16.85,-99.9167,"Acapulco, Guerrero, Mexico",827
20.6167,-87.0667,"Playa Del Carmen, Quintana Roo, Mexico",817
27.5,-99.5167,"Nuevo Laredo, Tamaulipas, Mexico",752
20.8667,-88.6333,"Quintana Roo, YucatáMX, Mexico",717
19.05,-98.2,"Puebla, Puebla, Mexico",679
17.9167,-93.8833,"Michoacan, Tabasco, Mexico",639
14.9,-92.2833,"Tapachula, Chiapas, Mexico",571
19.1667,-101.158,"Fronteras, Michoacáde Ocampo, Mexico",533
30.7833,-108.633,"Pancho Villa, Chihuahua, Mexico",471
19.6011,-99.0525,"Morelos, Méco, Mexico",467
20.6167,-105.25,"Puerto Vallarta, Jalisco, Mexico",428
16.4167,-93.7833,"Baja California, Chiapas, Mexico",411
25.6667,-100.317,"Monterrey, Nuevo LeóX, Mexico",402
28.6,-111.383,"Coahuila, Sonora, Mexico",303
17.85,-100.367,"Iguala, Guerrero, Mexico",289
17.55,-98.75,"Ayotzinapa, Guerrero, Mexico",265
24.4458,-99.8206,"Guadalupe, Nuevo LeóX, Mexico",248
21.0333,-103.117,"Las Cruces, Jalisco, Mexico",239
21.9583,-102.467,"El Centro, Aguascalientes, Mexico",230
21.1375,-104.9,"Calexico, Nayarit, Mexico",228
16.4667,-93.2556,"Nuevo Leon, Chiapas, Mexico",226
18.4556,-96.7042,"Chilapa, Veracruz-Llave, Mexico",206
18.7333,-97.0667,"Tequila, Veracruz-Llave, Mexico",201
24,-107.033,"Culiacan, Sinaloa, Mexico",198
31.9,-114.95,"Colorado River, Mexico (general), Mexico",168
31.6667,-113.3,"Nayarit, Sonora, Mexico",163
18.2083,-93.3417,"Reforma, Tabasco, Mexico",159
17.55,-99.5,"Chilpancingo, Guerrero, Mexico",159
20.1333,-99.2333,"Tlahuelilpan, Hidalgo, Mexico",157
28.7,-100.517,"Piedras Negras, Coahuila de Zaragoza, Mexico",157
25.8333,-111.833,"Baja California Sur, Baja California Sur, Mexico",150
20.125,-87.45,"Tulum, Quintana Roo, Mexico",149
30.45,-110.7,"Soldado, Sonora, Mexico",146
22.7833,-102.583,"Zacatecas, Zacatecas, Mexico",144
24.9667,-103.85,"Centro, Durango, Mexico",142
32.6,-114.922,"Ciudad Victoria, Baja California, Mexico",136
28.2833,-100.917,"Rio Bravo, Coahuila de Zaragoza, Mexico",135
22.8833,-109.9,"Cabo San Lucas, Baja California Sur, Mexico",133
18.9167,-99.25,"Cuernavaca, Morelos, Mexico",127
17.2667,-97.6833,"Tlaxiaco, Oaxaca, Mexico",125
16.5936,-96.5025,"Progreso, Oaxaca, Mexico",112
31.2667,-110.417,"Alamogordo, Sonora, Mexico",107
18.6,-103.717,"Cabeza Prieta, Michoacáde Ocampo, Mexico",100
31.8667,-116.617,"Ensenada, Baja California, Mexico",100
17.6333,-101.55,"Zihuatanejo, Guerrero, Mexico",94
19.7,-101.117,"Morelia, Michoacáde Ocampo, Mexico",94
16.35,-94.2,"Tapanatepec, Oaxaca, Mexico",91
28.7333,-106.1,"Carolinas, Chihuahua, Mexico",91
20.6,-100.383,"Queretaro, Queréro de Arteaga, Mexico",89
28.5,-111.417,"El Mayo, Sonora, Mexico",89
19.6847,-99.1292,"Tultepec, Méco, Mexico",88
25.7667,-108.967,"Los Mochis, Sinaloa, Mexico",84
24.3333,-107.4,"Rosarito, Sinaloa, Mexico",83
15.4333,-92.9,"Mapastepec, Chiapas, Mexico",83
17.9833,-92.9167,"Villahermosa, Tabasco, Mexico",82
27.9333,-110.9,"Guaymas, Sonora, Mexico",81
26.6167,-112.45,"Mezcal, Baja California Sur, Mexico",79
27.0333,-108.4,"Urique, Chihuahua, Mexico",77
19.8639,-98.3264,"La Union, Hidalgo, Mexico",77
32.55,-117.133,"Playas De Tijuana, Baja California, Mexico",74
20.4472,-98.5708,"Los Alamos, Hidalgo, Mexico",74
15.15,-92.4667,"Huixtla, Chiapas, Mexico",72
16.4333,-95.0167,"Juchitan, Oaxaca, Mexico",71
19.1833,-101.25,"La Concepcion, Michoacáde Ocampo, Mexico",71
31.45,-111.517,"Sasabe, Sonora, Mexico",70
27.3833,-108.1,"Vaquita, Chihuahua, Mexico",70
20.65,-103.317,"Tlaquepaque, Jalisco, Mexico",70
15.7,-93.2333,"Pijijiapan, Chiapas, Mexico",67
19.85,-90.5333,"Campeche, Campeche, Mexico",64
21.0806,-99.0236,"Palomas, Hidalgo, Mexico",63
31.85,-112.833,"Sonoyta, Sonora, Mexico",62
20.2,-99.4333,"Palo Alto, Hidalgo, Mexico",61
23.8167,-106.683,"Mapuche, Sinaloa, Mexico",61
17.0597,-97.0031,"Tierra Caliente, Oaxaca, Mexico",61
17.2833,-100.8,"Guayabillo, Guerrero, Mexico",58
31.75,-107.25,"La Linea, Chihuahua, Mexico",58
19.1167,-104.393,"Sierra Madre, Colima, Mexico",57
29.3667,-111.55,"Sayula, Sonora, Mexico",56
25.4167,-101,"Saltillo, Coahuila de Zaragoza, Mexico",56
20.4667,-103.45,"Tlajomulco De Zuniga, Jalisco, Mexico",55
19.5333,-96.9167,"Xalapa, Veracruz-Llave, Mexico",55
18.95,-89.2333,"Miguel Aleman, Campeche, Mexico",55
14.9333,-92.3,"Viva Mexico, Chiapas, Mexico",54
17.5167,-101.267,"Petatlan, Guerrero, Mexico",54
18.3167,-100.65,"Ciudad Altamirano, Guerrero, Mexico",52
27.1667,-101.75,"Mariposa, Coahuila de Zaragoza, Mexico",52
18.1833,-98.8,"Santa Monica, Puebla, Mexico",52
26.05,-97.8833,"Rio Rico, Tamaulipas, Mexico",51
19.5269,-99.2217,"Tlalnepantla, Méco, Mexico",51
21.65,-104.5,"La Cucaracha, Nayarit, Mexico",51
19.2536,-99.6078,"Metepec, Méco, Mexico",51
18.7333,-102.733,"Aguililla, Michoacáde Ocampo, Mexico",50
19.4667,-103.3,"Tecalitlan, Jalisco, Mexico",50
19.2883,-99.6672,"Toluca, Méco, Mexico",50
19.8,-97.2833,"Guadalupe Victoria, Veracruz-Llave, Mexico",49
19.975,-88.6833,"Tabasco, Quintana Roo, Mexico",49
16.8833,-95.0333,"Matias Romero, Oaxaca, Mexico",49
26.95,-108.3,"La Junta, Sinaloa, Mexico",48
18.6167,-100.183,"Tlatlaya, Méco, Mexico",48
25.8167,-99.5167,"Dona Ana, Nuevo LeóX, Mexico",47
21.5,-104.9,"Tepic, Nayarit, Mexico",47
32.5667,-116.633,"Tecate, Baja California, Mexico",46
19.7222,-97.2083,"Gutierrez Zamora, Veracruz-Llave, Mexico",45
21.8833,-102.3,"Aguascalientes, Aguascalientes, Mexico",45
26.7333,-106.317,"La Tuna, Chihuahua, Mexico",45
18.1181,-96.0014,"Benito Juarez, Oaxaca, Mexico",45
21.2,-86.7167,"Isla Mujeres, Quintana Roo, Mexico",44
19.1944,-98.3292,"Los Pinos, Tlaxcala, Mexico",44
18.2333,-96.4333,"Nacional, Oaxaca, Mexico",44
17.2333,-92.3333,"Yajalon, Chiapas, Mexico",43
16.5781,-95.1014,"Ixtepec, Oaxaca, Mexico",43
19.3139,-98.2417,"Tlaxcala, Tlaxcala, Mexico",43
30.7667,-108.417,"Ignacio Zaragoza, Chihuahua, Mexico",43
19.15,-102.7,"Felipe Carrillo Puerto, Michoacáde Ocampo, Mexico",42
