LAT,LONG,HUMANNAME,COUNT
59.8944,30.2642,"Petersburg, Sankt-Peterburg, Russia",18
37.4939,-107.65,"San Juan National Forest, Colorado, United States",17
46.9048,-110.326,"Montana, United States",17
17.2333,-92.3333,"Yajalon, Chiapas, Mexico",17
31.7667,35.2333,"Jerusalem, Israel (general), Israel",17
19.15,-102.7,"Felipe Carrillo Puerto, Michoacáde Ocampo, Mexico",17
32.3504,-108.709,"Lordsburg, New Mexico, United States",17
27.1667,-101.75,"Mariposa, Coahuila de Zaragoza, Mexico",17
23.9667,-98.2333,"Jesus Ramirez, Tamaulipas, Mexico",16
18.1667,-96.1,"Ciudad Miguel Aleman, Veracruz-Llave, Mexico",16
17,-95,"Isthmus Of Tehuantepec, Mexico (general), Mexico",16
38.468,-80.9696,"West Virginia, United States",16
39.3498,-75.5148,"Delaware, United States",16
16.8833,-95.0333,"Matias Romero, Oaxaca, Mexico",16
31.5834,-110.584,"Santa Cruz County, Arizona, United States",16
18.7333,-102.733,"Aguililla, Michoacáde Ocampo, Mexico",16
27.667,-99.3336,"Webb County, Texas, United States",16
19.3289,-99.1603,"Coyoacan, Distrito Federal, Mexico",16
45.5,-73.5833,"Montreal, Quebec, Canada",16
31.85,-112.833,"Sonoita, Sonora, Mexico",16
25.8167,-99.5167,"Dona Ana, Nuevo LeóX, Mexico",15
17.5167,-101.267,"Petatlan, Guerrero, Mexico",15
26.05,-97.8833,"Rio Rico, Tamaulipas, Mexico",15
17.0936,-97.7597,"Lazaro Cardenas, Oaxaca, Mexico",15
19.3333,-101.917,"Taretan, Michoacáde Ocampo, Mexico",15
21.0806,-99.0236,"Palomas, Hidalgo, Mexico",15
19.3511,-99.0519,"Iztapalapa, Distrito Federal, Mexico",15
31.1981,29.9192,"Alexandria, Al Iskandariyah, Egypt",15
26.95,-108.3,"La Junta, Sinaloa, Mexico",15
-33.8833,151.217,"Sydney, New South Wales, Australia",15
40.4334,-74.3996,"Middlesex County, New Jersey, United States",15
20.5667,-103.15,"Puente Grande, Jalisco, Mexico",15
40.015,-105.271,"Boulder, Colorado, United States",15
44.0407,-72.7093,"Vermont, United States",15
18.15,-94.4167,"Coatzacoalcos, Veracruz-Llave, Mexico",15
32.6789,-115.499,"Calexico, California, United States",15
19.2833,-99.1667,"Tlalpan, Distrito Federal, Mexico",14
17.4833,-91.4333,"Tenosique, Tabasco, Mexico",14
24.9833,-104.267,"El Chaparral, Durango, Mexico",14
22.3583,-102.242,"San Jacinto, Aguascalientes, Mexico",14
18.6167,-100.183,"Tlatlaya, Méco, Mexico",14
19.55,-103.4,"Tuxpan, Jalisco, Mexico",14
43.4108,-71.5653,"New Hampshire, United States",14
26.7342,-112.078,"Cabeza De Vaca, Baja California Sur, Mexico",14
31.45,-111.517,"Sasabe, Sonora, Mexico",14
22.5,-98.6,"Los Aztecas, Tamaulipas, Mexico",14
32.7668,-97.3003,"Tarrant County, Texas, United States",14
18.2333,-96.4333,"Nacional, Oaxaca, Mexico",14
18.1181,-96.0014,"Benito Juarez, Oaxaca, Mexico",14
38.4666,-121.318,"Sacramento County, California, United States",14
4.6,-74.0833,"Bogota, Cundinamarca, Colombia",13
17.1083,-100.333,"Cuauhtemoc, Guerrero, Mexico",13
32.792,-115.563,"El Centro, California, United States",13
36.6025,-119.456,"Reedley High School, California, United States",13
41.0586,-94.3614,"Creston, Iowa, United States",13
32.0004,-112.003,"Pima County, Arizona, United States",13
19.3167,-98.8833,"Ixtapaluca, Méco, Mexico",13
21.2831,-100.735,"La Esperanza, Guanajuato, Mexico",13
17.2833,-100.8,"Guayabillo, Guerrero, Mexico",13
30.2085,-85.6244,"Bay County, Florida, United States",12
18.3333,-100.65,"Coyuca De Catalan, Guerrero, Mexico",12
32.5667,-116.633,"Tecate, Baja California, Mexico",12
23.8167,-106.683,"Mapuche, Sinaloa, Mexico",12
20.7167,-103.4,"Zapopan, Jalisco, Mexico",12
20.45,-100.617,"Apaseo El Alto, Guanajuato, Mexico",12
18.9333,-99.725,"Porfirio Diaz, Méco, Mexico",12
17.8083,-93.7,"Modelo, Tabasco, Mexico",12
30.95,-110.3,"Cananea, Sonora, Mexico",12
23.7086,-100.414,"Alvaro Obregon, Nuevo LeóX, Mexico",12
19.3139,-98.2417,"Tlaxcala, Tlaxcala, Mexico",12
27.8006,-97.3964,"Corpus Christi, Texas, United States",12
41.6833,-92.5335,"Poweshiek County, Iowa, United States",12
20.7714,-105.538,"Punta Mita, Nayarit, Mexico",12
34.0186,-119.682,"Central Valley, California, United States",12
30.7667,-108.417,"Ignacio Zaragoza, Chihuahua, Mexico",12
49.9,-119.483,"Kelowna, British Columbia, Canada",12
14.8333,-92.1833,"Metapa, Chiapas, Mexico",12
52.5167,13.4,"Berlin, Berlin, Germany",12
20.4167,-87.3,"Akumal, Quintana Roo, Mexico",12
39.0194,125.755,"Pyongyang, P'yongyang-si, North Korea",12
15.9833,-91.5667,"Yalambojoch, Huehuetenango, Guatemala",12
-37.8167,144.967,"Melbourne, Victoria, Australia",11
-16.5,-68.15,"La Paz, La Paz, Bolivia",11
32.7668,-96.7836,"Dallas County, Texas, United States",11
16.8167,-95.0333,"La Llorona, Oaxaca, Mexico",11
12.1508,-86.2683,"Managua, Managua, Nicaragua",11
18.35,-99.85,"Teloloapan, Guerrero, Mexico",11
19.8,-97.2833,"Guadalupe Victoria, Veracruz-Llave, Mexico",11
36.7281,-108.219,"Farmington, New Mexico, United States",11
25.0167,-105.467,"El Bronco, Durango, Mexico",11
35.05,-106.667,"Bernalillo County, New Mexico, United States",11
31.75,-107.25,"La Linea, Chihuahua, Mexico",11
